,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/7,/intelcpu/0/load/8,/intelcpu/0/load/9,/intelcpu/0/load/10,/intelcpu/0/load/11,/intelcpu/0/load/12,/intelcpu/0/load/13,/intelcpu/0/load/14,/intelcpu/0/load/15,/intelcpu/0/load/16,/intelcpu/0/load/17,/intelcpu/0/load/18,/intelcpu/0/load/19,/intelcpu/0/load/20,/intelcpu/0/load/21,/intelcpu/0/load/0,/intelcpu/0/load/1,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/temperature/7,/intelcpu/0/temperature/8,/intelcpu/0/temperature/9,/intelcpu/0/temperature/10,/intelcpu/0/temperature/11,/intelcpu/0/temperature/12,/intelcpu/0/temperature/13,/intelcpu/0/temperature/14,/intelcpu/0/temperature/15,/intelcpu/0/temperature/16,/intelcpu/0/temperature/17,/intelcpu/0/temperature/18,/intelcpu/0/temperature/19,/intelcpu/0/temperature/20,/intelcpu/0/temperature/21,/intelcpu/0/temperature/22,/intelcpu/0/temperature/23,/intelcpu/0/temperature/24,/intelcpu/0/temperature/25,/intelcpu/0/temperature/26,/intelcpu/0/temperature/27,/intelcpu/0/temperature/28,/intelcpu/0/temperature/29,/intelcpu/0/temperature/30,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/clock/7,/intelcpu/0/clock/8,/intelcpu/0/clock/9,/intelcpu/0/clock/10,/intelcpu/0/clock/11,/intelcpu/0/clock/12,/intelcpu/0/clock/13,/intelcpu/0/clock/14,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/3,/intelcpu/0/voltage/0,/intelcpu/0/voltage/1,/intelcpu/0/voltage/2,/intelcpu/0/voltage/3,/intelcpu/0/voltage/4,/intelcpu/0/voltage/5,/intelcpu/0/voltage/6,/intelcpu/0/voltage/7,/intelcpu/0/voltage/8,/intelcpu/0/voltage/9,/intelcpu/0/voltage/10,/intelcpu/0/voltage/11,/intelcpu/0/voltage/12,/intelcpu/0/voltage/13,/intelcpu/0/voltage/14,/intelcpu/0/clock/0,/ram/data/0,/ram/data/1,/ram/load/0,/ram/data/2,/ram/data/3,/ram/load/1,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/smalldata/5,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/5,/gpu-nvidia/0/load/6,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/power/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/smalldata/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/0,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/10,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/1,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/12,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/11,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/3,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/4,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/5,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/6,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/9,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/2,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/7,/gpu-intel-integrated/\\?\PCI#VEN_8086&DEV_46A6&SUBSYS_278D1043&REV_0C#3&11583659&0&10#{1ca05180-a699-450a-9a0c-de4fbe3ddd89}/load/8,/hdd/1/load/0,/hdd/1/load/31,/hdd/1/load/32,/hdd/1/load/33,/hdd/1/throughput/34,/hdd/1/throughput/35,/hdd/0/load/0,/hdd/0/load/31,/hdd/0/load/32,/hdd/0/load/33,/hdd/0/throughput/34,/hdd/0/throughput/35,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/data/2,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/data/3,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/throughput/7,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/throughput/8,/nic/{6B9C28EA-F1B2-4518-875F-2744DB97822F}/load/1,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/data/2,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/data/3,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/throughput/7,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/throughput/8,/nic/{F90C6E0E-D34F-4188-A599-3ED020FABA30}/load/1,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/data/2,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/data/3,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/throughput/7,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/throughput/8,/nic/{C9A9F541-7D11-4C0E-A058-314FC0EE2D5D}/load/1,/battery/level/0,/battery/voltage/1,/battery/current/2,/battery/energy/3,/battery/energy/4,/battery/energy/5,/battery/power/0,/battery/level/0
Time,"CPU Core #1 Thread #1","CPU Core #1 Thread #2","CPU Core #2 Thread #1","CPU Core #2 Thread #2","CPU Core #3 Thread #1","CPU Core #3 Thread #2","CPU Core #4 Thread #1","CPU Core #4 Thread #2","CPU Core #5 Thread #1","CPU Core #5 Thread #2","CPU Core #6 Thread #1","CPU Core #6 Thread #2","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Total","CPU Core Max","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Package","CPU Core #1 Distance to TjMax","CPU Core #2 Distance to TjMax","CPU Core #3 Distance to TjMax","CPU Core #4 Distance to TjMax","CPU Core #5 Distance to TjMax","CPU Core #6 Distance to TjMax","CPU Core #7 Distance to TjMax","CPU Core #8 Distance to TjMax","CPU Core #9 Distance to TjMax","CPU Core #10 Distance to TjMax","CPU Core #11 Distance to TjMax","CPU Core #12 Distance to TjMax","CPU Core #13 Distance to TjMax","CPU Core #14 Distance to TjMax","Core Max","Core Average","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","CPU Package","CPU Cores","CPU Memory","CPU Core","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Core #13","CPU Core #14","Bus Speed","Memory Used","Memory Available","Memory","Virtual Memory Used","Virtual Memory Available","Virtual Memory","GPU Core","GPU Core","GPU Memory","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Processing","D3D VR","GPU Hot Spot","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx","GPU Power","D3D Shared Memory Used","D3D 3D","D3D Video Decode","D3D Copy","D3D Video Processing","D3D Video Decode","D3D Other","D3D Other","D3D Other","D3D Other","D3D Overlay","D3D GDI Render","D3D Other","D3D Other","Used Space","Read Activity","Write Activity","Total Activity","Read Rate","Write Rate","Used Space","Read Activity","Write Activity","Total Activity","Read Rate","Write Rate","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Charge Level","Voltage","Discharge Current","Designed Capacity","Full Charged Capacity","Remaining Capacity","Discharge Rate","Degradation Level"
07/16/2024 00:40:06,0.240075588,0.07941127,0.199252367,0.0613927841,1.59364343,0.792217255,1.40553117,0.750499964,0.20236969,0.05555749,0.203073025,0.06702542,0.196677446,0.133240223,0.109940767,0.104546547,0.17683506,0.136941671,0.139713287,0.1388073,0.3393352,1.59364343,51,52,56,53,51,54,44,44,44,44,46,46,46,46,59,49,48,44,47,49,46,56,56,56,56,54,54,54,54,56,48.3571434,4081.78027,4081.78027,4081.78027,4081.78027,4081.78027,4081.78027,3285.33545,1692.44543,1891.55676,2787.55713,2389.33472,3285.33545,3285.33545,1692.44543,1.42553318,0.50066787,0,1.21679688,1.20166016,1.2097168,1.20214844,1.189209,1.19580078,1.17565918,1.17565918,1.185669,1.185669,1.185669,1.16564941,1.18322754,1.20324707,1.19226074,99.55562,8.33699,23.3300934,26.3269958,8.39048,30.5266037,21.55989,42,2355,8000.982,0,0,0,0,4.58203125,0.25,0,0,0,0.000733577064,0,0,0,0,0,47.9375,6141,5921,220,3.58247828,21.915,7168,0,0.00348844752,157.144531,9.678486E-06,0,0,0,0,0,0,0,0,0,0,0,0,63.0240135,0.0214068219,0.584191144,0.548292935,4484.26367,45211.78,62.4162636,0,0.0016959894,0.00171785464,0,5.809789,0,0,0,0,0,0,0,0,0,0,0.00676616561,1.14452338,16.0059624,43.1368256,0.000157714108,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/16/2024 00:40:08,53.85082,2.85241,55.06857,6.9986763,74.39861,16.5672951,39.63657,53.1221046,7.170689,57.3236237,59.2897072,3.05834413,46.08926,49.60594,34.38904,27.3117428,29.01349,51.0933266,34.8134232,32.9905434,36.7321968,74.39861,52,59,61,58,53,59,44,44,44,44,44,44,46,46,65,48,41,39,42,47,41,56,56,56,56,56,56,54,54,61,49.8571434,4081.77979,3584.002,4081.77979,4081.77979,4081.77979,2190.22339,1692.44531,3484.44629,1692.44531,3285.335,3285.335,1692.44531,3185.7793,3285.335,48.3658066,40.4198837,0,1.28771973,1.28771973,1.28771973,1.25268555,1.32775879,1.28771973,1.29272461,1.30773926,1.31481934,1.25976563,1.31481934,1.30480957,1.27978516,1.25976563,1.28979492,99.5556,8.381771,23.2853127,26.4684,8.428009,30.4890747,21.6563187,43,2355,7000.978,0,0,0,0,4.58203125,0.25,0,0,0,0.0127059836,0,0,0,0,0,48.96875,6141,5921,220,3.58247828,19.065,0,0,0.00563119352,157.152344,0.0705129951,0,0,0,0,0,0,0,0,0,0,0,0,63.0240135,0.996621,1.620206,3.10440135,1077877.88,5864140.5,62.4162636,3.412531,0.140284747,3.642049,29072.5645,39167.2031,0,0,0,0,0,0,0,0,0,0,0.00679571833,1.1445967,25029.7813,62084.6133,0.23230505,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/16/2024 00:40:08,43.89802,1.19455457,35.5962563,0.5284846,59.07722,0.8708358,4.41454029,54.7342644,0.5168319,46.5769653,48.9695625,0.5668223,36.33015,14.44127,7.003331,4.43776846,0,21.1640129,10.6369677,8.314771,19.9602489,59.07722,58,43,52,43,55,41,43,41,41,41,42,42,42,42,53,42,57,48,57,45,59,57,59,59,59,58,58,58,58,58,44.7142868,4081.725,2190.19385,4081.725,4081.725,4081.725,2190.19385,1692.42261,1692.42261,1692.42261,1692.42261,1692.42261,1692.42261,3484.39941,1692.42261,27.450407,19.8450871,0,1.217041,1.23205566,1.13598633,1.16601563,1.15600586,1.16027832,1.18029785,1.175293,1.17028809,1.18530273,1.18530273,1.21521,1.19030762,1.21521,1.21521,99.55427,8.392639,23.2744446,26.5027237,8.435741,30.4813423,21.6761932,43,2355,8000.982,0,0,0,0,0,0.25,0,0,0,0.027691504,0,0,0,0,0,49.28125,6141,5921,220,3.58247828,20.685,9216,0,0.00112642616,157.144531,0.106288709,0,0,0,0,0,0,0,0,0,0,0,0,63.0240135,0.7671753,0.125482291,0.949500144,731962,366344.438,62.4162636,0,0,0.002285626,0,0,0,0,0,0,0,0,0,0,0,0,0.00680213049,1.144612,9774.667,23355.5625,0.08834728,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/16/2024 00:40:09,24.26479,1.05364323,20.4231625,4.854828,13.2109823,32.59144,33.5939827,9.418381,3.76597047,28.5621471,35.6705132,1.54204369,28.25541,12.6714821,11.9267826,6.89790249,3.82611156,27.4723415,14.311182,7.57169151,16.0942249,35.6705132,42,39,43,41,42,40,40,40,40,41,41,41,41,41,45,58,61,57,59,58,60,60,60,60,59,59,59,59,59,43,40.8571434,2190.252,2190.252,2190.252,2190.252,2190.252,2190.252,1692.46741,1692.46741,1692.46741,3484.4917,1692.46741,1692.46741,1692.46741,1692.46741,22.7396317,15.5021429,0,0.862060547,0.881958,0.8919678,0.8869629,0.8520508,0.871948242,0.8769531,0.885376,1.24047852,1.23046875,1.23046875,1.23046875,1.23046875,1.23046875,1.23046875,99.5569,8.397152,23.2699318,26.5169754,8.441025,30.476059,21.6897659,43,2355,8000.982,0,0,0,0,4.58203125,0.25,0,0,0,0.009649177,0,0,0,0,0,49.59375,6141,5921,220,3.58247828,20.718,0,3072,0.000188209742,157.144531,0.128505066,0,0,0,0,0,0,0,0,0,0,0,0,63.0240135,0.954526842,0.747882664,1.75327909,1227120.63,3396156.5,62.4162636,0,0.163761213,0.1518687,0,12629.04,0,0,0,0,0,0,0,0,0,0,0.0068286797,1.14463842,29297.8555,29106.6953,0.155745462,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/16/2024 00:40:10,7.06449747,0,4.1326704,0,0,28.9597282,14.6452131,0,0,16.442997,11.5245285,0,10.680747,7.27463961,0,0,0,12.2938576,3.27090025,1.11227632,4.807395,28.9597282,40,41,40,42,41,40,41,41,41,41,40,40,40,40,46,60,59,60,58,59,60,59,59,59,59,60,60,60,60,42,40.57143,2190.22339,2190.22339,2190.22339,2190.22339,2190.22339,2190.22339,1692.44531,1692.44531,1692.44531,1692.44531,1692.44531,1692.44531,1692.44531,1692.44531,12.9078722,5.83929729,0,0.8581543,0.8581543,0.848144531,0.848144531,0.843505859,0.848510742,0.848510742,0.7684326,0.7684326,0.7684326,0.7684326,0.7684326,0.7684326,0.7734375,0.8535156,99.5556,8.378593,23.28849,26.4583664,8.396481,30.5206032,21.57531,43,2355,8000.982,0,0,0,0,4.58203125,0.25,0,0,0,0,0,0,0,0,0,49.625,6141,5921,220,3.58247828,20.556,0,2048,0,157.144531,0.126012787,0,0,0,0,0,0,0,0,0,0,0,0,63.0240135,0.06981332,0.30002287,0.0162050612,113720.266,1182893.75,62.4162636,0,0.519448936,0,0,29953.1,0,0,0,0,0,0,0,0,0,0,0.006936444,1.14477873,114735.961,149359.719,0.704255164,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/16/2024 00:40:11,3.84808183,0.358229876,6.29667664,0.254100561,0.4498422,21.831,21.6274033,0.608241558,0.40012002,11.6496325,15.7868624,0.268638134,4.777032,2.055329,2.0250082,0.3836274,3.083235,4.48637,2.91978121,5.118185,5.41137457,21.831,40,44,43,50,43,48,41,41,41,41,40,40,40,40,47,60,56,57,50,57,52,59,59,59,59,60,60,60,60,50,42.2857132,4380.44629,2190.22314,2190.22314,4081.77954,2190.22314,3484.446,1692.44519,3185.7793,1692.44519,1692.44519,3484.446,3484.446,1692.44519,1692.44519,14.2094088,7.329733,0,0.8691406,1.137207,1.18884277,1.21374512,1.22119141,1.24621582,1.22619629,1.23181152,1.26184082,1.26184082,1.2019043,1.26184082,1.26184082,1.216919,1.23181152,99.5556,8.354515,23.3125687,26.3823318,8.376785,30.5402985,21.524704,44,2355,8000.982,0,0,0,0,4.58203125,0.25,0,0,0,0,0,0,0,0,0,49.78125,6141,5921,220,3.58247828,20.582,0,0,0.09632132,157.144531,0.0567989424,0,0,0,0,0,0,0,0,0,0,0,0,63.0240135,0.03877855,0.2636961,0.881424963,32702.9941,2137769.5,62.4162636,0,0,0.4970421,0,0,0,0,0,0,0,0,0,0,0,0,0.006944936,1.14507651,8958.866,314168.531,0.861673,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/16/2024 00:40:13,25.43512,0.9738624,22.6869526,1.10154748,1.31883025,40.02941,41.11837,2.15023756,1.18336082,34.02017,43.4268074,2.391088,39.09782,28.41903,6.74473047,6.2045517,3.3421874,30.3934879,15.845335,6.108892,17.5995827,43.4268074,46,47,48,48,47,51,44,44,44,44,42,45,45,45,50,54,53,52,52,53,49,56,56,56,56,58,55,55,55,51,45.7142868,2190.22363,2190.22363,4081.78027,2190.22363,3882.669,2190.22363,1692.44543,1692.44543,1692.44543,3185.77954,1692.44543,3086.224,3185.77954,3285.33521,25.1228733,17.5377064,0,1.36816406,1.24316406,1.23901367,1.24401855,1.23901367,1.223999,1.3190918,1.18103027,1.15942383,1.17944336,1.194458,1.194458,1.18945313,1.25939941,1.18945313,99.55561,8.384373,23.282711,26.4766235,8.406975,30.5101089,21.602272,44,2355,8000.982,0,0,0,0,0,0.25,0,0,0,0.007551161,0,0,0,0,0,50.1875,6141,5921,220,3.58247828,20.582,102400,10240,0.0006446988,157.144531,0.130271658,0,0,0,0,0,0,0,0,0,0,0,0,63.0240135,1.44765055,0.6395148,1.49766517,3664792.75,3014701.5,62.4162636,0,0.123339847,0,0,7735.202,0,0,0,0,0,0,0,0,0,0,0.00695172232,1.14529765,4786.93652,156024.438,0.428830326,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/16/2024 00:40:13,28.7872486,0,12.0366812,0.328415632,0.4080057,45.33278,50.2065,0,0.3670931,35.3040237,35.62057,0.28321743,44.57391,32.0729027,5.855596,4.826659,0,28.3925476,19.8725643,8.286392,17.4602337,50.2065,44,49,59,51,48,46,45,45,47,47,44,44,44,44,54,56,51,41,49,52,54,55,55,53,53,56,56,56,56,59,46.92857,2190.223,4081.779,3783.1123,2190.223,2190.223,2190.223,1692.445,3086.22314,2986.66772,3484.44556,3185.77881,1692.445,1692.445,1692.445,29.74405,22.6927814,0,1.22485352,1.23486328,0.829956055,1.30493164,1.18457031,1.14453125,0.8745117,0.854614258,0.854614258,0.854614258,0.854614258,0.845581055,0.845581055,0.845581055,0.845581055,99.55559,8.405846,23.2612381,26.544426,8.430832,30.4862518,21.6635742,44,2355,8000.982,0,0,0,0,0,0.25,0,0,0,0.0236431174,0,0,0,0,0,50.5625,6141,5921,220,3.58247828,20.734,0,0,0.000757539,157.144531,0.08980621,0,0,0,0,0,0,0,0,0,0,0,0,63.0240135,0.261262476,0.4518325,2.04233313,294550.531,2622420.25,62.4162636,0,0.3267953,1.70060861,0,23011.43,0,0,0,0,0,0,0,0,0,0,0.006953599,1.14530218,3621.861,8785.935,0.0330874547,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/16/2024 00:40:14,21.9893818,0.996607542,6.219262,0,2.91337967,31.5712986,33.130127,2.64878273,2.60074139,42.40539,28.6341438,0,31.3405571,13.5315475,4.893458,4.284477,0,16.1363773,12.4594507,5.37447357,12.9765692,42.40539,45,44,50,49,42,48,42,42,42,42,42,42,42,42,47,55,56,50,51,58,52,58,58,58,58,58,58,58,58,50,43.8571434,2190.22339,2190.22339,3982.22461,2190.22339,2190.22339,2190.22339,1692.44543,1692.44543,3086.22388,1692.44543,3484.44653,3285.33521,1692.44543,3484.44653,21.2210178,13.9898977,0,1.24755859,1.19775391,1.19775391,1.21276855,1.18286133,1.20275879,1.20166016,1.19177246,1.19177246,1.206665,1.251709,1.251709,1.234375,0.7524414,0.7524414,99.55561,8.421032,23.2460518,26.5923843,8.450298,30.4667854,21.7136,44,2355,8000.982,0,0,0,0,4.58203125,0.25,0,0,0,0.69172895,0,0,0,0,0,50.84375,6141,5921,220,3.58247828,20.683,0,0,0.000197395391,157.144531,0.09004885,0,0,0,0,0,0,0,0,0,0,0,0,63.0240135,0.18975696,0.626493335,1.13827229,211906.2,3159830.5,62.4162636,0,0.179202929,0.158137992,0,6070.249,0,0,0,0,0,0,0,0,0,0,0.00697285961,1.14530993,22289.7813,8897.158,0.08316517,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/16/2024 00:40:15,8.394557,0.511300564,8.738052,0.49088,2.888149,32.2989159,49.53913,3.53927016,0.5733371,28.273201,22.6436672,0.462037325,29.4117985,12.07037,3.73967886,0.826257467,2.358687,12.0355663,4.550749,2.851683,11.3098736,49.53913,43,44,44,53,45,61,42,42,42,42,43,43,43,43,46,57,56,56,47,55,39,58,58,58,58,57,57,57,57,61,45,2190.223,2190.223,3783.112,3484.44531,2190.223,2190.223,1692.44482,1692.44482,1692.44482,1692.44482,3086.223,3086.223,3086.223,3484.44531,18.8223228,11.8613625,0,1.11364746,1.13867188,1.12866211,1.12866211,1.2557373,1.2557373,1.32580566,1.182251,1.121582,1.14660645,1.11657715,1.11657715,1.11657715,1.11657715,1.11657715,99.55558,8.405506,23.2615776,26.5433578,8.423275,30.4938087,21.6441574,45,2355,8000.982,0,0,0,0,4.58203125,0.25,0,0,0,0,0,0,0,0,0,51.09375,6141,5921,220,3.58247828,20.49,1024,0,0.0004952145,157.144531,0.09629821,0,0,0,0,0,0,0,0,0,0,0,0,63.0240135,0.08039557,0.240324646,0.434077263,49865.75,839406.75,62.4162636,0,0.172424,0.226916924,0,12466.4961,0,0,0,0,0,0,0,0,0,0,0.00716223568,1.14533269,206319.344,24798.9883,0.616315544,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/16/2024 00:40:16,13.9138279,1.29311681,7.285619,1.27973557,3.53199244,35.104805,48.022747,0,0,31.2725487,26.0240612,0,33.3153419,26.59731,1.15485787,0,0,24.2135048,14.3417,7.411909,13.6188869,48.022747,43,49,56,58,56,51,45,45,45,45,41,43,45,45,50,57,51,44,42,44,49,55,55,55,55,59,57,55,55,58,47.6428566,2190.22314,2190.22314,3285.33472,2190.22314,4081.77954,2190.22314,1692.44519,3484.4458,3185.779,1692.44519,2588.44556,1692.44519,1692.44519,3086.22339,23.2366676,15.9778624,0,1.1463623,1.161377,0.8425293,1.107544,1.12744141,1.05749512,1.06750488,1.267456,1.267456,1.267456,1.267456,1.267456,1.27246094,1.267456,1.25769043,99.5555954,8.401848,23.2652359,26.5318,8.415649,30.5014343,21.6245575,45,2355,8000.982,0,0,0,0,4.58203125,0.25,0,0,0,0.02461143,0,0,0,0,0,51.15625,6141,5921,220,3.58247828,20.394,1024,0,0.00153575791,157.144531,0.09169562,0,0,0,0,0,0,0,0,0,0,0,0,63.0240135,0.8090312,0.8243702,1.334972,3662111.25,5293514.5,62.4162636,0,0.153138936,0.136783734,0,7926.60938,0,0,0,0,0,0,0,0,0,0,0.00716523454,1.14534473,3115.31274,12528.9746,0.0417181,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
07/16/2024 00:40:17,19.2179623,0,12.214035,0,0,31.9288025,32.7104378,0,0,28.4221649,23.7134933,0.6759584,11.9044542,28.8858,2.77617574,0,0,19.0256538,3.83290052,0.5755544,10.5294409,32.7104378,41,42,44,42,46,42,43,43,43,43,41,41,41,41,50,59,58,56,58,54,58,57,57,57,57,59,59,59,59,46,42.3571434,2190.223,2190.223,2190.223,3882.668,2190.223,4579.557,3185.77881,3484.44556,1692.445,2787.5564,1692.445,1692.445,3086.22314,2588.44531,19.17181,12.0301027,0,0.971801758,1.10681152,1.33178711,0.8417969,0.851806641,0.846801758,1.34472656,0.849731445,0.8397217,0.8397217,0.8397217,0.8342285,1.189209,0.829223633,0.8342285,99.55559,8.406601,23.2604828,26.5468063,8.420441,30.4966431,21.6368713,45,2355,8000.982,0,0,0,0,4.58203125,0.25,0,0,0,0,0,0,0,0,0,51.3125,6141,5921,220,3.58247828,20.533,0,0,0.000375305768,157.144531,0.03246677,0,0,0,0,0,0,0,0,0,0,0,0,63.0240135,0.268967927,0.1297031,0.467007041,318027.625,747837.2,62.4162636,0,0.165562078,0.1815905,0,22041.6172,0,0,0,0,0,0,0,0,0,0,0.00716827065,1.14535487,3341.78174,11120.1377,0.0385651179,100.001213,16.619,1.93056142,90005,82535,82536,32.084,8.299538
